Richard Shelby,@SenShelby
Luther Strange,@lutherstrange
Lisa Murkowski,@lisamurkowski
Dan Sullivan, @SenDanSullivan
John McCain,@SenJohnMcCain
Jeff Flake,@JeffFlake
Tom Cotton,@SenTomCotton
John Boozman,@JohnBoozman
Dianne Feinstein,@SenFeinstein
Kamala Harris,@SenKamalaHarris
Michael Bennet,@SenBennetCO
Cory Gardner,@SenCoryGardner
Christopher Murphy,@ChrisMurphyCT
Richard Blumenthal,@SenBlumenthal
Tom Carper,@SenatorCarper
Chris Coons,@ChrisCoons
Bill Nelson,@SenBillNelson
Marco Rubio,@marcorubio
Saxby Chambliss,@SaxbyChambliss
David Perdue, @SenDavidPerdue
Johnny Isakson,@SenatorIsakson
Brian Schatz,@brianschatz
Mazie K. Hirono,@maziehirono
Mike Crapo,@MikeCrapo
Jim Risch,@SenatorRisch
Tammy Duckworth,@SenDuckworth
Dick Durbin,@SenatorDurbin
Joe Donnelly,@SenDonnelly 
Todd Young,@SenToddYoung
Chuck Grassley,@ChuckGrassley
Joni Ernst,@joniernst
Pat Roberts,@SenPatRoberts
Jerry Moran,@JerryMoran
Mitch McConnell, @SenateMajLdr
Rand Paul,@SenRandPaul
Bill Cassidy,@BillCassidy
John Neely Kennedy,@SenJohnKennedy
Angus King, @SenAngusKing
Susan Collins,@SenatorCollins
Chris Van Hollen,@ChrisVanHollen
Ben Cardin,@SenatorCardin
Ed Markey,@senmarkey
Elizabeth Warren,@SenWarren
Gary Peters, @SenGaryPeters
Debbie Stabenow,@SenStabenow
Amy Klobuchar,@amyklobuchar
Al Franken,@SenFranken
Thad Cochran,@SenThadCochran
Roger Wicker,@SenatorWicker
Claire McCaskill,@clairecmc
Roy Blunt,@RoyBlunt
Steve Daines,@SteveDaines
Jon Tester,@SenatorTester
Deb Fischer,@SenatorFischer
Ben Sasse,@SenSasse
Catherine Cortez Masto,@SenCortezMasto
Dean Heller,@SenDeanHeller
Jeanne Shaheen,@SenatorShaheen
Maggie Hassan,@GovernorHassan
Cory Booker,@CoryBooker
Bob Menendez,@SenatorMenendez
Martin Heinrich,@MartinHeinrich
Tom Udall,@SenatorTomUdall
Chuck Schumer,@SenSchumer
Kirsten Gillibrand,@SenGillibrand
Richard Burr,@SenatorBurr
Thom Tillis,@SenThomTillis
Heidi Heitkamp,@SenatorHeitkamp
John Hoeven,@SenJohnHoeven
Sherrod Brown,@SenSherrodBrown
Rob Portman,@SenRobPortman
Jim Inhofe,@jiminhofe
James Lankford,@SenatorLankford
Ron Wyden,@RonWyden
Jeff Merkley,@SenJeffMerkley
"Bob Casey, Jr.",@SenBobCasey
Pat Toomey,@SenToomey
Jack Reed,@SenJackReed
Sheldon Whitehouse,@SenWhitehouse
Lindsey Graham,@GrahamBlog
Tim Scott,@SenatorTimScott
Mike Rounds,@SenatorRounds
John Thune,@SenJohnThune
Lamar Alexander,@SenAlexander
Bob Corker,@SenBobCorker
John Cornyn,@JohnCornyn
Ted Cruz,@SenTedCruz
Orrin Hatch,@SenOrrinHatch
Mike Lee,@SenMikeLee
Patrick Leahy,@SenatorLeahy
Bernie Sanders,@SenatorSanders
Tim Kaine,@timkaine
Mark Warner,@MarkWarner
Patty Murray,@PattyMurray
Maria Cantwell,@SenatorCantwell
Shelley Moore Capito,@SenCapito
Joe Manchin,@Sen_JoeManchin
Tammy Baldwin, @SenatorBaldwin
Ron Johnson,@SenRonJohnson
Mike Enzi,@SenatorEnzi
John Barrasso,@SenJohnBarrasso
